# Timer data started: Tue Apr  6 10:53:34 2021
# timer(10 ns), starts, total starts, total stops
86, 71, 138718, 570
83, 330, 139048, 571
579, 152, 139200, 572
620, 269, 139469, 573
42, 112, 139581, 574
1463, 213, 139794, 575
493, 105, 139899, 576
296, 38, 139937, 577
114, 118, 140055, 578
301, 121, 140176, 579
19, 613, 140789, 580
33, 65, 140854, 581
830, 490, 141344, 582
3680, 697, 142041, 583
2297, 111, 142152, 584
2173, 52, 142204, 585
463, 584, 142788, 586
522, 376, 143164, 587
184, 157, 143321, 588
196, 169, 143490, 589
2369, 78, 143568, 590
260, 301, 143869, 591
3299, 372, 144241, 592
21, 15, 144256, 593
67, 46, 144302, 594
605, 15, 144317, 595
273, 29, 144346, 596
664, 553, 144899, 597
572, 461, 145360, 598
140, 623, 145983, 599
368, 476, 146459, 600
1206, 343, 146802, 601
70, 10, 146812, 602
383, 128, 146940, 603
2760, 46, 146986, 604
128, 149, 147135, 605
141, 1096, 148231, 606
2537, 135, 148366, 607
35, 391, 148757, 608
26, 115, 148872, 609
3926, 13, 148885, 610
22, 131, 149016, 611
371, 38, 149054, 612
1058, 12, 149066, 613
90, 74, 149140, 614
53, 40, 149180, 615
908, 479, 149659, 616
538, 374, 150033, 617
3832, 209, 150242, 618
333, 108, 150350, 619
2981, 20, 150370, 620
276, 98, 150468, 621
759, 468, 150936, 622
830, 13, 150949, 623
3539, 160, 151109, 624
98, 73, 151182, 625
3163, 248, 151430, 626
833, 37, 151467, 627
3268, 62, 151529, 628
72, 49, 151578, 629
15, 638, 152216, 630
361, 208, 152424, 631
938, 12, 152436, 632
131, 1060, 153496, 633
28, 83, 153579, 634
335, 227, 153806, 635
74, 1482, 155288, 636
245, 68, 155356, 637
372, 13, 155369, 638
2302, 354, 155723, 639
35, 307, 156030, 640
284, 288, 156318, 641
497, 134, 156452, 642
427, 28, 156480, 643
62, 137, 156617, 644
122, 143, 156760, 645
500, 105, 156865, 646
2483, 129, 156994, 647
348, 497, 157491, 648
144, 436, 157927, 649
158, 498, 158425, 650
1750, 348, 158773, 651
2031, 112, 158885, 652
2390, 267, 159152, 653
122, 137, 159289, 654
312, 33, 159322, 655
257, 544, 159866, 656
17, 247, 160113, 657
758, 424, 160537, 658
78, 13, 160550, 659
382, 76, 160626, 660
181, 112, 160738, 661
47, 532, 161270, 662
281, 302, 161572, 663
147, 107, 161679, 664
20, 935, 162614, 665
250, 60, 162674, 666
223, 220, 162894, 667
175, 133, 163027, 668
146, 1, 163028, 669
1446, 347, 163375, 670
2153, 24, 163399, 671
3456, 4, 163403, 672
183, 3, 163406, 673
59, 422, 163828, 674
34, 513, 164341, 675
1666, 429, 164770, 676
650, 261, 165031, 677
99, 528, 165559, 678
272, 713, 166272, 679
135, 148, 166420, 680
3455, 63, 166483, 681
1046, 373, 166856, 682
15, 130, 166986, 683
127, 55, 167041, 684
3106, 766, 167807, 685
61, 43, 167850, 686
170, 266, 168116, 687
98, 723, 168839, 688
635, 91, 168930, 689
31, 229, 169159, 690
12, 16, 169175, 691
22, 142, 169317, 692
282, 54, 169371, 693
137, 32, 169403, 694
38, 88, 169491, 695
85, 837, 170328, 696
86, 742, 171070, 697
130, 31, 171101, 698
1366, 123, 171224, 699
121, 15, 171239, 700
3833, 88, 171327, 701
322, 74, 171401, 702
143, 31, 171432, 703
244, 102, 171534, 704
284, 122, 171656, 705
268, 78, 171734, 706
90, 306, 172040, 707
2611, 6, 172046, 708
802, 208, 172254, 709
132, 159, 172413, 710
272, 47, 172460, 711
3136, 493, 172953, 712
432, 437, 173390, 713
1085, 45, 173435, 714
156, 46, 173481, 715
144, 683, 174164, 716
64, 148, 174312, 717
62, 117, 174429, 718
2060, 394, 174823, 719
154, 159, 174982, 720
904, 144, 175126, 721
75, 128, 175254, 722
284, 576, 175830, 723
2630, 547, 176377, 724
219, 326, 176703, 725
80, 58, 176761, 726
714, 181, 176942, 727
3200, 52, 176994, 728
361, 163, 177157, 729
3803, 391, 177548, 730
900, 270, 177818, 731
2699, 90, 177908, 732
2038, 241, 178149, 733
1348, 69, 178218, 734
229, 375, 178593, 735
98, 57, 178650, 736
450, 17, 178667, 737
13, 235, 178902, 738
112, 77, 178979, 739
3635, 655, 179634, 740
154, 712, 180346, 741
2298, 200, 180546, 742
200, 78, 180624, 743
2103, 254, 180878, 744
3387, 124, 181002, 745
323, 124, 181126, 746
2257, 343, 181469, 747
1703, 722, 182191, 748
2671, 499, 182690, 749
99, 235, 182925, 750
527, 143, 183068, 751
147, 133, 183201, 752
29, 45, 183246, 753
131, 136, 183382, 754
31, 117, 183499, 755
323, 58, 183557, 756
3682, 15, 183572, 757
730, 899, 184471, 758
1588, 1557, 186028, 759
71, 109, 186137, 760
3179, 95, 186232, 761
474, 144, 186376, 762
64, 3, 186379, 763
133, 27, 186406, 764
195, 464, 186870, 765
69, 42, 186912, 766
2075, 17, 186929, 767
835, 448, 187377, 768
63, 513, 187890, 769
187, 105, 187995, 770
1823, 27, 188022, 771
302, 241, 188263, 772
1873, 139, 188402, 773
434, 48, 188450, 774
3826, 313, 188763, 775
12, 200, 188963, 776
461, 195, 189158, 777
316, 342, 189500, 778
492, 721, 190221, 779
295, 364, 190585, 780
109, 24, 190609, 781
3616, 27, 190636, 782
611, 815, 191451, 783
64, 120, 191571, 784
406, 60, 191631, 785
11, 399, 192030, 786
616, 166, 192196, 787
20, 45, 192241, 788
34, 199, 192440, 789
18, 97, 192537, 790
122, 92, 192629, 791
84, 67, 192696, 792
240, 93, 192789, 793
53, 900, 193689, 794
510, 199, 193888, 795
662, 104, 193992, 796
35, 114, 194106, 797
10, 40, 194146, 798
311, 37, 194183, 799
69, 62, 194245, 800
3342, 115, 194360, 801
3549, 93, 194453, 802
22, 18, 194471, 803
208, 17, 194488, 804
1679, 315, 194803, 805
62, 13, 194816, 806
41, 453, 195269, 807
2463, 76, 195345, 808
249, 44, 195389, 809
2572, 6, 195395, 810
173, 23, 195418, 811
567, 126, 195544, 812
77, 351, 195895, 813
124, 203, 196098, 814
129, 114, 196212, 815
136, 66, 196278, 816
26, 18, 196296, 817
1609, 120, 196416, 818
1080, 7, 196423, 819
3205, 466, 196889, 820
3760, 43, 196932, 821
232, 228, 197160, 822
62, 29, 197189, 823
22, 303, 197492, 824
280, 191, 197683, 825
3981, 130, 197813, 826
68, 153, 197966, 827
218, 132, 198098, 828
845, 33, 198131, 829
416, 258, 198389, 830
32, 186, 198575, 831
291, 224, 198799, 832
2865, 393, 199192, 833
684, 315, 199507, 834
4045, 19, 199526, 835
705, 114, 199640, 836
669, 115, 199755, 837
88, 272, 200027, 838
642, 64, 200091, 839
29, 81, 200172, 840
9, 84, 200256, 841
9, 221, 200477, 842
349, 90, 200567, 843
176, 105, 200672, 844
143, 17, 200689, 845
371, 108, 200797, 846
3042, 25, 200822, 847
1447, 515, 201337, 848
58, 74, 201411, 849
2377, 379, 201790, 850
172, 107, 201897, 851
80, 48, 201945, 852
377, 21, 201966, 853
279, 222, 202188, 854
437, 103, 202291, 855
23, 717, 203008, 856
3949, 3, 203011, 857
65, 32, 203043, 858
352, 836, 203879, 859
271, 187, 204066, 860
3677, 520, 204586, 861
3719, 49, 204635, 862
4051, 64, 204699, 863
2097, 340, 205039, 864
230, 107, 205146, 865
222, 237, 205383, 866
3541, 16, 205399, 867
34, 601, 206000, 868
4046, 39, 206039, 869
2709, 271, 206310, 870
801, 9, 206319, 871
75, 99, 206418, 872
81, 669, 207087, 873
118, 104, 207191, 874
993, 76, 207267, 875
134, 256, 207523, 876
1334, 225, 207748, 877
74, 169, 207917, 878
3776, 232, 208149, 879
164, 68, 208217, 880
513, 1075, 209292, 881
3107, 170, 209462, 882
401, 5, 209467, 883
15, 538, 210005, 884
3324, 159, 210164, 885
335, 142, 210306, 886
512, 308, 210614, 887
535, 122, 210736, 888
19, 457, 211193, 889
217, 435, 211628, 890
2851, 162, 211790, 891
217, 83, 211873, 892
73, 17, 211890, 893
47, 114, 212004, 894
91, 263, 212267, 895
474, 168, 212435, 896
2008, 238, 212673, 897
71, 261, 212934, 898
2336, 85, 213019, 899
9, 368, 213387, 900
321, 178, 213565, 901
1735, 169, 213734, 902
351, 356, 214090, 903
691, 296, 214386, 904
78, 83, 214469, 905
36, 794, 215263, 906
864, 10, 215273, 907
495, 18, 215291, 908
129, 1258, 216549, 909
2533, 430, 216979, 910
72, 219, 217198, 911
2915, 74, 217272, 912
399, 624, 217896, 913
2096, 236, 218132, 914
3697, 34, 218166, 915
107, 385, 218551, 916
49, 275, 218826, 917
1253, 268, 219094, 918
2783, 114, 219208, 919
73, 118, 219326, 920
157, 111, 219437, 921
959, 214, 219651, 922
1593, 307, 219958, 923
428, 87, 220045, 924
248, 663, 220708, 925
356, 632, 221340, 926
19, 91, 221431, 927
434, 66, 221497, 928
83, 90, 221587, 929
775, 23, 221610, 930
2025, 115, 221725, 931
94, 212, 221937, 932
231, 213, 222150, 933
272, 551, 222701, 934
10, 309, 223010, 935
1982, 98, 223108, 936
338, 140, 223248, 937
2891, 24, 223272, 938
253, 217, 223489, 939
1333, 288, 223777, 940
254, 15, 223792, 941
3507, 339, 224131, 942
305, 40, 224171, 943
202, 2477, 226648, 944
109, 108, 226756, 945
124, 168, 226924, 946
1155, 182, 227106, 947
87, 689, 227795, 948
366, 13, 227808, 949
3264, 71, 227879, 950
3699, 158, 228037, 951
92, 5, 228042, 952
314, 7, 228049, 953
254, 8, 228057, 954
749, 237, 228294, 955
458, 94, 228388, 956
1843, 181, 228569, 957
142, 43, 228612, 958
91, 48, 228660, 959
332, 144, 228804, 960
292, 356, 229160, 961
179, 395, 229555, 962
315, 46, 229601, 963
203, 93, 229694, 964
388, 62, 229756, 965
269, 13, 229769, 966
275, 79, 229848, 967
2426, 634, 230482, 968
532, 376, 230858, 969
367, 152, 231010, 970
239, 26, 231036, 971
2352, 72, 231108, 972
91, 791, 231899, 973
45, 14, 231913, 974
310, 79, 231992, 975
37, 175, 232167, 976
604, 207, 232374, 977
96, 112, 232486, 978
54, 21, 232507, 979
986, 290, 232797, 980
470, 106, 232903, 981
120, 640, 233543, 982
1227, 101, 233644, 983
107, 292, 233936, 984
166, 258, 234194, 985
245, 2, 234196, 986
249, 363, 234559, 987
90, 224, 234783, 988
33, 118, 234901, 989
421, 10, 234911, 990
1291, 84, 234995, 991
236, 262, 235257, 992
252, 359, 235616, 993
100, 57, 235673, 994
1159, 107, 235780, 995
301, 77, 235857, 996
200, 95, 235952, 997
129, 281, 236233, 998
386, 281, 236514, 999
1669, 76, 236590, 1000
2798, 390, 236980, 1001
21, 641, 237621, 1002
205, 123, 237744, 1003
63, 19, 237763, 1004
470, 84, 237847, 1005
1058, 164, 238011, 1006
2282, 279, 238290, 1007
306, 302, 238592, 1008
1962, 68, 238660, 1009
259, 41, 238701, 1010
3793, 497, 239198, 1011
111, 287, 239485, 1012
132, 26, 239511, 1013
173, 41, 239552, 1014
29, 347, 239899, 1015
63, 517, 240416, 1016
18, 153, 240569, 1017
200, 87, 240656, 1018
2456, 26, 240682, 1019
587, 383, 241065, 1020
565, 34, 241099, 1021
350, 263, 241362, 1022
3632, 28, 241390, 1023
243, 295, 241685, 1024
134, 344, 242029, 1025
765, 282, 242311, 1026
1205, 145, 242456, 1027
87, 810, 243266, 1028
112, 595, 243861, 1029
2181, 606, 244467, 1030
179, 169, 244636, 1031
740, 185, 244821, 1032
91, 276, 245097, 1033
2097, 5, 245102, 1034
15, 60, 245162, 1035
80, 769, 245931, 1036
28, 615, 246546, 1037
52, 150, 246696, 1038
