# Timer data started: Sun Apr 11 10:40:43 2021
# timer(10 ns), starts, total starts, total stops
258, 35, 336405, 556
2219, 456, 336861, 557
3553, 162, 337023, 558
1054, 340, 337363, 559
1267, 481, 337844, 560
145, 190, 338034, 561
248, 226, 338260, 562
3865, 478, 338738, 563
993, 112, 338850, 564
17, 1027, 339877, 565
1276, 359, 340236, 566
3913, 825, 341061, 567
2766, 1050, 342111, 568
3832, 1826, 343937, 569
85, 190, 344127, 570
3700, 470, 344597, 571
3267, 48, 344645, 572
1496, 511, 345156, 573
3516, 299, 345455, 574
3841, 844, 346299, 575
89, 72, 346371, 576
1466, 169, 346540, 577
1712, 592, 347132, 578
1489, 880, 348012, 579
3612, 530, 348542, 580
1739, 1590, 350132, 581
2667, 6, 350138, 582
3206, 406, 350544, 583
3813, 663, 351207, 584
1189, 44, 351251, 585
3167, 607, 351858, 586
929, 364, 352222, 587
2271, 664, 352886, 588
1199, 294, 353180, 589
1630, 237, 353417, 590
3617, 664, 354081, 591
1429, 336, 354417, 592
369, 604, 355021, 593
3206, 544, 355565, 594
711, 1968, 357533, 595
2376, 362, 357895, 596
858, 236, 358131, 597
2781, 357, 358488, 598
4054, 1026, 359514, 599
2296, 357, 359871, 600
208, 64, 359935, 601
3942, 196, 360131, 602
3260, 477, 360608, 603
1795, 243, 360851, 604
1237, 653, 361504, 605
57, 25, 361529, 606
186, 58, 361587, 607
46, 584, 362171, 608
2921, 336, 362507, 609
129, 252, 362759, 610
933, 828, 363587, 611
310, 526, 364113, 612
355, 538, 364651, 613
897, 921, 365572, 614
2623, 854, 366426, 615
3024, 414, 366840, 616
437, 830, 367670, 617
76, 1045, 368715, 618
1494, 359, 369074, 619
972, 8, 369082, 620
308, 1036, 370118, 621
2911, 1502, 371620, 622
2571, 104, 371724, 623
854, 600, 372324, 624
2186, 804, 373128, 625
156, 1205, 374333, 626
3835, 1305, 375638, 627
1252, 926, 376564, 628
1901, 682, 377246, 629
3215, 359, 377605, 630
498, 622, 378227, 631
1501, 325, 378552, 632
14, 84, 378636, 633
96, 1108, 379744, 634
472, 53, 379797, 635
1082, 725, 380522, 636
504, 427, 380949, 637
1310, 171, 381120, 638
3571, 1024, 382144, 639
2729, 62, 382206, 640
2856, 1076, 383282, 641
27, 1357, 384639, 642
3218, 98, 384737, 643
183, 853, 385590, 644
169, 419, 386009, 645
3986, 1013, 387022, 646
1134, 94, 387116, 647
594, 1017, 388133, 648
1119, 347, 388480, 649
565, 70, 388550, 650
40, 20, 388570, 651
2170, 599, 389169, 652
3599, 372, 389541, 653
1692, 296, 389837, 654
129, 759, 390596, 655
2371, 2362, 392958, 656
1320, 114, 393072, 657
296, 309, 393381, 658
108, 509, 393890, 659
3120, 1598, 395488, 660
1966, 1507, 396995, 661
121, 309, 397304, 662
3920, 207, 397511, 663
2542, 382, 397893, 664
3233, 456, 398349, 665
1704, 81, 398430, 666
140, 629, 399059, 667
1538, 411, 399470, 668
15, 899, 400369, 669
902, 62, 400431, 670
1579, 539, 400970, 671
240, 680, 401650, 672
1134, 325, 401975, 673
30, 556, 402531, 674
3070, 633, 403164, 675
3499, 1315, 404479, 676
2791, 18, 404497, 677
338, 300, 404797, 678
2279, 233, 405030, 679
857, 1719, 406749, 680
3533, 825, 407574, 681
298, 293, 407867, 682
2861, 2717, 410584, 683
1397, 127, 410711, 684
3795, 283, 410994, 685
3987, 323, 411317, 686
3753, 177, 411494, 687
3133, 399, 411893, 688
4052, 47, 411940, 689
877, 835, 412775, 690
1052, 1189, 413964, 691
2947, 774, 414738, 692
57, 132, 414870, 693
4043, 867, 415737, 694
1792, 171, 415908, 695
3222, 70, 415978, 696
286, 220, 416198, 697
1775, 424, 416622, 698
3688, 80, 416702, 699
3359, 529, 417231, 700
847, 498, 417729, 701
891, 1850, 419579, 702
2922, 104, 419683, 703
3619, 614, 420297, 704
2785, 394, 420691, 705
3031, 29, 420720, 706
4021, 591, 421311, 707
3488, 1411, 422722, 708
70, 2419, 425141, 709
1735, 725, 425866, 710
1965, 312, 426178, 711
2336, 2987, 429165, 712
3078, 2202, 431367, 713
151, 521, 431888, 714
1370, 283, 432171, 715
1905, 1337, 433508, 716
4073, 2849, 436357, 717
901, 407, 436764, 718
791, 1678, 438442, 719
72, 755, 439197, 720
3476, 187, 439384, 721
161, 620, 440004, 722
3934, 156, 440160, 723
303, 1077, 441237, 724
2242, 304, 441541, 725
3489, 67, 441608, 726
3448, 40, 441648, 727
1213, 42, 441690, 728
4013, 476, 442166, 729
1171, 278, 442444, 730
2053, 1133, 443577, 731
1495, 696, 444273, 732
3637, 510, 444783, 733
3573, 1036, 445819, 734
338, 2071, 447890, 735
1215, 638, 448528, 736
3316, 82, 448610, 737
2822, 114, 448724, 738
1826, 82, 448806, 739
663, 112, 448918, 740
776, 477, 449395, 741
2173, 349, 449744, 742
128, 422, 450166, 743
924, 185, 450351, 744
859, 380, 450731, 745
298, 698, 451429, 746
38, 1210, 452639, 747
3500, 319, 452958, 748
2285, 340, 453298, 749
2369, 1353, 454651, 750
4060, 274, 454925, 751
1507, 415, 455340, 752
3018, 179, 455519, 753
515, 543, 456062, 754
1595, 192, 456254, 755
257, 9, 456263, 756
268, 305, 456568, 757
1878, 520, 457088, 758
2141, 1604, 458692, 759
3645, 1262, 459954, 760
2493, 297, 460251, 761
3261, 47, 460298, 762
1328, 3322, 463620, 763
1292, 67, 463687, 764
2882, 799, 464486, 765
3366, 159, 464645, 766
368, 533, 465178, 767
1146, 716, 465894, 768
3647, 118, 466012, 769
2630, 158, 466170, 770
2155, 154, 466324, 771
3039, 729, 467053, 772
3108, 545, 467598, 773
2589, 94, 467692, 774
331, 1784, 469476, 775
3645, 391, 469867, 776
56, 455, 470322, 777
48, 2, 470324, 778
618, 1281, 471605, 779
3045, 1433, 473038, 780
110, 1002, 474040, 781
2240, 259, 474299, 782
2577, 601, 474900, 783
2077, 926, 475826, 784
1671, 810, 476636, 785
1164, 214, 476850, 786
501, 239, 477089, 787
320, 360, 477449, 788
164, 354, 477803, 789
2846, 253, 478056, 790
2476, 1097, 479153, 791
1320, 398, 479551, 792
114, 1657, 481208, 793
3725, 539, 481747, 794
3010, 1849, 483596, 795
3076, 48, 483644, 796
971, 137, 483781, 797
3382, 264, 484045, 798
2322, 87, 484132, 799
1943, 156, 484288, 800
161, 741, 485029, 801
2156, 2823, 487852, 802
3704, 98, 487950, 803
1748, 785, 488735, 804
2489, 1064, 489799, 805
2366, 79, 489878, 806
2965, 47, 489925, 807
2718, 19, 489944, 808
1245, 1409, 491353, 809
31, 1233, 492586, 810
143, 19, 492605, 811
349, 244, 492849, 812
2999, 9, 492858, 813
3447, 31, 492889, 814
1054, 340, 493229, 815
2007, 29, 493258, 816
1551, 591, 493849, 817
3096, 1714, 495563, 818
3200, 763, 496326, 819
3946, 1, 496327, 820
2291, 302, 496629, 821
144, 815, 497444, 822
1662, 136, 497580, 823
1110, 188, 497768, 824
41, 530, 498298, 825
31, 686, 498984, 826
1806, 72, 499056, 827
2338, 2912, 501968, 828
247, 11, 501979, 829
3399, 536, 502515, 830
140, 274, 502789, 831
606, 1114, 503903, 832
130, 1323, 505226, 833
1145, 153, 505379, 834
583, 56, 505435, 835
